"Arquivo","Linha","Tipo","Trecho"
"\src\app\(cms)\admin\(dashboard)\ambientes\novo\page.jsx","6","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\novo\page.jsx","7","SEM_ACENTO (ambiente)","Novo Ambiente"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","6","SEM_ACENTO (ambiente)","const ambiente = await prisma.ambiente.findUnique({"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","10","SEM_ACENTO (ambiente)","if (!ambiente) notFound();"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","14","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","15","SEM_ACENTO (ambiente)","Editar Ambiente"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","17","SEM_ACENTO (ambiente)","<AmbienteForm ambiente={ambiente} />"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","6","SEM_ACENTO (ambiente)","const ambientes = await prisma.ambiente.findMany({"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco"">Ambientes</h1>"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","18","SEM_ACENTO (ambiente)","+ Novo Ambiente"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","24","SEM_ACENTO (ambiente)","Nenhum ambiente cadastrado ainda."
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","32","SEM_ACENTO (titulo)","Titulo"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","49","SEM_ACENTO (ambiente)","{ambientes.map((ambiente) => ("
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","51","SEM_ACENTO (ambiente)","key={ambiente.id}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","55","SEM_ACENTO (titulo)","{ambiente.titulo}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","55","SEM_ACENTO (ambiente)","{ambiente.titulo}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","58","SEM_ACENTO (ambiente)","{ambiente.slug}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","61","SEM_ACENTO (ambiente)","{ambiente.ordem}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","66","SEM_ACENTO (ambiente)","ambiente.publicado"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","66","SEM_ACENTO (publicado)","ambiente.publicado"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","71","SEM_ACENTO (ambiente)","{ambiente.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","71","SEM_ACENTO (publicado)","{ambiente.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","77","SEM_ACENTO (ambiente)","href={`/admin/ambientes/${ambiente.id}`}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","83","SEM_ACENTO (ambiente)","endpoint={`/api/admin/ambientes/${ambiente.id}`}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","84","SEM_ACENTO (titulo)","confirmText={`Excluir ""${ambiente.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","84","SEM_ACENTO (ambiente)","confirmText={`Excluir ""${ambiente.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\banners\novo\page.jsx","6","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\[id]\page.jsx","14","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco"">Banners</h1>"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","32","SEM_ACENTO (titulo)","Titulo"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","35","SEM_ACENTO (botao)","Botao"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","55","SEM_ACENTO (titulo)","{banner.titulo}"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","84","SEM_ACENTO (titulo)","confirmText={`Excluir banner ""${banner.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\blog\novo\page.jsx","6","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\[id]\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco"">Blog</h1>"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","32","SEM_ACENTO (titulo)","Titulo"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","41","SEM_ACENTO (publicado)","Publicado em"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","55","SEM_ACENTO (titulo)","{post.titulo}"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","63","SEM_ACENTO (publicado)","post.publicado"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","68","SEM_ACENTO (publicado)","{post.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","86","SEM_ACENTO (titulo)","confirmText={`Excluir o post ""${post.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","12","SEM_ACENTO (ambiente)","prisma.ambiente.count(),"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","21","SEM_ACENTO (titulo)","titulo: ""Ambientes cadastrados"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","SEM_ACENTO (portfolio)","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","SEM_ACENTO (titulo)","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","28","SEM_ACENTO (portfolio)","href: ""/admin/portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","31","SEM_ACENTO (titulo)","titulo: ""Depoimentos"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","36","SEM_ACENTO (titulo)","titulo: ""Leads novos"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","41","SEM_ACENTO (titulo)","titulo: ""Leads no total"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","49","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","55","SEM_ACENTO (titulo)","key={card.titulo}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","60","SEM_ACENTO (titulo)","{card.titulo}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","62","SEM_ACENTO (titulo)","<p className=""font-titulo text-3xl text-preto-fosco mt-2"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\novo\page.jsx","6","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\[id]\page.jsx","14","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco"">Depoimentos</h1>"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","61","SEM_ACENTO (nao)","{depoimento.videoUrl ? ""Sim"" : ""Nao""}"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","66","SEM_ACENTO (publicado)","depoimento.publicado"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","71","SEM_ACENTO (publicado)","{depoimento.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\faq\novo\page.jsx","6","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\faq\[id]\page.jsx","14","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\faq\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco"">FAQ</h1>"
"\src\app\(cms)\admin\(dashboard)\faq\page.jsx","57","SEM_ACENTO (publicado)","faq.publicado"
"\src\app\(cms)\admin\(dashboard)\faq\page.jsx","62","SEM_ACENTO (publicado)","{faq.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\leads\page.jsx","10","SEM_ACENTO (orcamento)","ORCAMENTO_ENVIADO: ""Orcamento enviado"","
"\src\app\(cms)\admin\(dashboard)\leads\page.jsx","31","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-dourado"">Leads</h1>"
"\src\app\(cms)\admin\(dashboard)\leads\page.jsx","54","SEM_ACENTO (ambiente)","<th className=""py-3 pr-4"">Ambiente</th>"
"\src\app\(cms)\admin\(dashboard)\portfolio\novo\page.jsx","6","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\portfolio\novo\page.jsx","7","SEM_ACENTO (projeto)","Novo Projeto"
"\src\app\(cms)\admin\(dashboard)\portfolio\[id]\page.jsx","6","SEM_ACENTO (projeto)","const projeto = await prisma.projetoPortfolio.findUnique({"
"\src\app\(cms)\admin\(dashboard)\portfolio\[id]\page.jsx","10","SEM_ACENTO (projeto)","if (!projeto) notFound();"
"\src\app\(cms)\admin\(dashboard)\portfolio\[id]\page.jsx","14","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\portfolio\[id]\page.jsx","15","SEM_ACENTO (projeto)","Editar Projeto"
"\src\app\(cms)\admin\(dashboard)\portfolio\[id]\page.jsx","17","SEM_ACENTO (projeto)","<PortfolioForm projeto={projeto} />"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","13","SEM_ACENTO (portfolio)","<h1 className=""font-titulo text-2xl text-preto-fosco"">Portfolio</h1>"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","13","SEM_ACENTO (titulo)","<h1 className=""font-titulo text-2xl text-preto-fosco"">Portfolio</h1>"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","15","SEM_ACENTO (portfolio)","href=""/admin/portfolio/novo"""
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","18","SEM_ACENTO (projeto)","+ Novo Projeto"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","24","SEM_ACENTO (projeto)","Nenhum projeto cadastrado ainda."
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","32","SEM_ACENTO (titulo)","Titulo"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","35","SEM_ACENTO (categoria)","Categoria"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","49","SEM_ACENTO (projeto)","{projetos.map((projeto) => ("
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","51","SEM_ACENTO (projeto)","key={projeto.id}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","55","SEM_ACENTO (titulo)","{projeto.titulo}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","55","SEM_ACENTO (projeto)","{projeto.titulo}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","58","SEM_ACENTO (projeto)","{projeto.categoria}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","58","SEM_ACENTO (categoria)","{projeto.categoria}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","61","SEM_ACENTO (projeto)","{projeto.destaque ? ("
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","72","SEM_ACENTO (projeto)","projeto.publicado"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","72","SEM_ACENTO (publicado)","projeto.publicado"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","77","SEM_ACENTO (projeto)","{projeto.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","77","SEM_ACENTO (publicado)","{projeto.publicado ? ""Publicado"" : ""Rascunho""}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","83","SEM_ACENTO (portfolio)","href={`/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","83","SEM_ACENTO (projeto)","href={`/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","89","SEM_ACENTO (portfolio)","endpoint={`/api/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","89","SEM_ACENTO (projeto)","endpoint={`/api/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","90","SEM_ACENTO (titulo)","confirmText={`Excluir ""${projeto.titulo}""?`}"
