"Arquivo","Linha","Palavra","Trecho"
"\src\app\(cms)\admin\(dashboard)\ambientes\novo\page.jsx","6","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","14","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco"">Ambientes</h1>"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","32","titulo","Titulo"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","55","titulo","{ambiente.titulo}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","84","titulo","confirmText={`Excluir ""${ambiente.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\banners\novo\page.jsx","6","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\[id]\page.jsx","14","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco"">Banners</h1>"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","32","titulo","Titulo"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","55","titulo","{banner.titulo}"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","84","titulo","confirmText={`Excluir banner ""${banner.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\blog\novo\page.jsx","6","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\[id]\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco"">Blog</h1>"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","32","titulo","Titulo"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","55","titulo","{post.titulo}"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","86","titulo","confirmText={`Excluir o post ""${post.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","21","titulo","titulo: ""Ambientes cadastrados"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","titulo","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","portfolio","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","28","portfolio","href: ""/admin/portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","31","titulo","titulo: ""Depoimentos"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","36","titulo","titulo: ""Leads novos"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","41","titulo","titulo: ""Leads no total"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","49","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","55","titulo","key={card.titulo}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","60","titulo","{card.titulo}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","62","titulo","<p className=""font-titulo text-3xl text-preto-fosco mt-2"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\novo\page.jsx","6","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\[id]\page.jsx","14","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco"">Depoimentos</h1>"
"\src\app\(cms)\admin\(dashboard)\faq\novo\page.jsx","6","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\faq\[id]\page.jsx","14","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\faq\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco"">FAQ</h1>"
"\src\app\(cms)\admin\(dashboard)\leads\page.jsx","31","titulo","<h1 className=""font-titulo text-2xl text-dourado"">Leads</h1>"
"\src\app\(cms)\admin\(dashboard)\portfolio\novo\page.jsx","6","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\portfolio\[id]\page.jsx","14","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","13","titulo","<h1 className=""font-titulo text-2xl text-preto-fosco"">Portfolio</h1>"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","13","portfolio","<h1 className=""font-titulo text-2xl text-preto-fosco"">Portfolio</h1>"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","15","portfolio","href=""/admin/portfolio/novo"""
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","32","titulo","Titulo"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","55","titulo","{projeto.titulo}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","83","portfolio","href={`/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","89","portfolio","endpoint={`/api/admin/portfolio/${projeto.id}`}"
"\src\app\(cms)\admin\(dashboard)\portfolio\page.jsx","90","titulo","confirmText={`Excluir ""${projeto.titulo}""?`}"
"\src\app\(cms)\admin\login\page.jsx","38","titulo","<h1 className=""font-titulo text-2xl text-dourado text-center mb-1"">"
"\src\app\(site)\ambientes\[slug]\page.jsx","24","titulo","<h1 className=""font-titulo text-4xl text-branco-gelo text-center mb-10"">"
"\src\app\(site)\ambientes\[slug]\page.jsx","25","titulo","{ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","31","titulo","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\[slug]\page.jsx","40","descricao","{ambiente.descricao}"
"\src\app\(site)\ambientes\page.jsx","24","titulo","<h1 className=""font-titulo text-4xl md:text-5xl text-branco-gelo text-center mb-6"">"
"\src\app\(site)\ambientes\page.jsx","47","titulo","alt={ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","55","titulo","<h2 className=""font-titulo text-xl text-branco-gelo mb-2"">"
"\src\app\(site)\ambientes\page.jsx","56","titulo","{ambiente.titulo}"
"\src\app\(site)\ambientes\page.jsx","59","descricao","{ambiente.descricao}"
"\src\app\(site)\ambientes\page.jsx","62","portfolio","href=""/#portfolio"""
"\src\app\(site)\blog\[slug]\page.jsx","14","titulo","const titulo = post.metaTitulo || post.titulo;"
"\src\app\(site)\blog\[slug]\page.jsx","15","descricao","const descricao = post.metaDescricao || post.resumo;"
"\src\app\(site)\blog\[slug]\page.jsx","18","titulo","title: `${titulo} | AW Marcenaria`,"
"\src\app\(site)\blog\[slug]\page.jsx","19","descricao","description: descricao,"
"\src\app\(site)\blog\[slug]\page.jsx","21","titulo","title: titulo,"
"\src\app\(site)\blog\[slug]\page.jsx","22","descricao","description: descricao,"
"\src\app\(site)\blog\[slug]\page.jsx","40","titulo","headline: post.titulo,"
"\src\app\(site)\blog\[slug]\page.jsx","76","titulo","<h1 className=""font-titulo text-3xl md:text-5xl text-branco-gelo leading-tight mb-8"">"
"\src\app\(site)\blog\[slug]\page.jsx","77","titulo","{post.titulo}"
"\src\app\(site)\blog\[slug]\page.jsx","83","titulo","alt={post.titulo}"
"\src\app\(site)\blog\page.jsx","25","titulo","<h1 className=""font-titulo text-4xl md:text-5xl text-branco-gelo text-center mb-16"">"
"\src\app\(site)\blog\page.jsx","44","titulo","alt={post.titulo}"
"\src\app\(site)\blog\page.jsx","58","titulo","<h2 className=""font-titulo text-xl text-branco-gelo mb-2 group-hover:text-dourado transition"">"
"\src\app\(site)\blog\page.jsx","59","titulo","{post.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","24","titulo","<h1 className=""font-titulo text-4xl text-branco-gelo text-center mb-10"">"
"\src\app\(site)\portfolio\[slug]\page.jsx","25","titulo","{projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","31","titulo","alt={projeto.titulo}"
"\src\app\(site)\portfolio\[slug]\page.jsx","40","descricao","{projeto.descricao}"
"\src\app\(site)\portfolio\[slug]\page.jsx","45","titulo","<h2 className=""font-titulo text-2xl text-branco-gelo text-center mb-6"">"
"\src\app\(site)\portfolio\[slug]\page.jsx","56","titulo","alt={`${projeto.titulo} - foto ${index + 1}`}"
"\src\app\(site)\portfolio\page.jsx","1","portfolio","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\portfolio\page.jsx","4","portfolio","title: ""Portfolio | AW Marcenaria e Moveis Planejados"","
"\src\app\(site)\portfolio\page.jsx","14","portfolio","<Portfolio />"
"\src\app\(site)\page.jsx","5","portfolio","import Portfolio from ""@/components/sections/Portfolio"";"
"\src\app\(site)\page.jsx","22","portfolio","<Portfolio />"
"\src\app\api\admin\ambientes\[id]\route.js","8","titulo","titulo: z.string().min(2),"
"\src\app\api\admin\ambientes\[id]\route.js","10","descricao","descricao: z.string().min(5),"
"\src\app\api\admin\ambientes\route.js","8","titulo","titulo: z.string().min(2),"
"\src\app\api\admin\ambientes\route.js","10","descricao","descricao: z.string().min(5),"
"\src\app\api\admin\banners\[id]\route.js","8","titulo","titulo: z.string().min(2),"
"\src\app\api\admin\banners\route.js","8","titulo","titulo: z.string().min(2),"
"\src\app\api\admin\blog\[id]\route.js","8","titulo","titulo: z.string().min(3),"
"\src\app\api\admin\blog\route.js","8","titulo","titulo: z.string().min(3),"
"\src\app\api\admin\portfolio\[id]\route.js","8","titulo","titulo: z.string().min(2),"
"\src\app\api\admin\portfolio\[id]\route.js","10","descricao","descricao: z.string().min(5),"
"\src\app\api\admin\portfolio\route.js","8","titulo","titulo: z.string().min(2),"
"\src\app\api\admin\portfolio\route.js","10","descricao","descricao: z.string().min(5),"
"\src\app\layout.jsx","6","titulo","variable: ""--font-titulo"","
"\src\components\admin\AmbienteForm.jsx","10","titulo","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\AmbienteForm.jsx","15","descricao","descricao: z.string().min(5, ""Informe a descricao""),"
"\src\components\admin\AmbienteForm.jsx","42","titulo","titulo: """","
"\src\components\admin\AmbienteForm.jsx","44","descricao","descricao: """","
"\src\components\admin\AmbienteForm.jsx","81","titulo","Titulo *"
"\src\components\admin\AmbienteForm.jsx","85","titulo","{...register(""titulo"")}"
"\src\components\admin\AmbienteForm.jsx","91","titulo","{errors.titulo && ("
"\src\components\admin\AmbienteForm.jsx","92","titulo","<p className=""text-sm text-red-700 mt-1"">{errors.titulo.message}</p>"
"\src\components\admin\AmbienteForm.jsx","112","descricao","Descricao *"
"\src\components\admin\AmbienteForm.jsx","116","descricao","{...register(""descricao"")}"
"\src\components\admin\AmbienteForm.jsx","119","descricao","{errors.descricao && ("
"\src\components\admin\AmbienteForm.jsx","121","descricao","{errors.descricao.message}"
"\src\components\admin\AmbienteForm.jsx","138","esta","aqui (upload direto ainda nao esta disponivel)."
"\src\components\admin\BannerForm.jsx","10","titulo","titulo: z.string().min(2, ""Informe o titulo""),"
"\src\components\admin\BannerForm.jsx","30","titulo","titulo: """","
"\src\components\admin\BannerForm.jsx","68","titulo","Titulo *"
"\src\components\admin\BannerForm.jsx","72","titulo","{...register(""titulo"")}"
"\src\components\admin\BannerForm.jsx","75","titulo","{errors.titulo && ("
