"Arquivo","Linha","Palavra","Classifica","Trecho"
"\src\app\(cms)\admin\(dashboard)\ambientes\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","14","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Ambientes</h1>"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","84","titulo","PROVAVEL_SEGURO","confirmText={`Excluir ""${ambiente.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\banners\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\[id]\page.jsx","14","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Banners</h1>"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","84","titulo","PROVAVEL_SEGURO","confirmText={`Excluir banner ""${banner.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\blog\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\[id]\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Blog</h1>"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","86","titulo","PROVAVEL_SEGURO","confirmText={`Excluir o post ""${post.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","portfolio","PROVAVEL_SEGURO","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","28","portfolio","PROVAVEL_SEGURO","href: ""/admin/portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","49","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","62","titulo","PROVAVEL_SEGURO","<p className=""font-titulo text-3xl text-preto-fosco mt-2"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\[id]\page.jsx","14","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\depoimentos\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Depoimentos</h1>"
"\src\app\(cms)\admin\(dashboard)\faq\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\faq\[id]\page.jsx","14","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\faq\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">FAQ</h1>"
"\src\app\(cms)\admin\(dashboard)\leads\page.jsx","31","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-dourado"">Leads</h1>"
"\src\app\(cms)\admin\(dashboard)\portfolio\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
