"Arquivo","Linha","Palavra","Classifica","Trecho"
"\src\app\(cms)\admin\(dashboard)\ambientes\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\[id]\page.jsx","14","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Ambientes</h1>"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","32","titulo","RISCO_REAL","Titulo"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","55","titulo","RISCO_REAL","{ambiente.titulo}"
"\src\app\(cms)\admin\(dashboard)\ambientes\page.jsx","84","titulo","PROVAVEL_SEGURO","confirmText={`Excluir ""${ambiente.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\banners\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\[id]\page.jsx","14","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Banners</h1>"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","32","titulo","RISCO_REAL","Titulo"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","55","titulo","RISCO_REAL","{banner.titulo}"
"\src\app\(cms)\admin\(dashboard)\banners\page.jsx","84","titulo","PROVAVEL_SEGURO","confirmText={`Excluir banner ""${banner.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\blog\novo\page.jsx","6","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\[id]\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","13","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco"">Blog</h1>"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","32","titulo","RISCO_REAL","Titulo"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","55","titulo","RISCO_REAL","{post.titulo}"
"\src\app\(cms)\admin\(dashboard)\blog\page.jsx","86","titulo","PROVAVEL_SEGURO","confirmText={`Excluir o post ""${post.titulo}""?`}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","21","titulo","RISCO_REAL","titulo: ""Ambientes cadastrados"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","titulo","RISCO_REAL","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","26","portfolio","PROVAVEL_SEGURO","titulo: ""Projetos no Portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","28","portfolio","PROVAVEL_SEGURO","href: ""/admin/portfolio"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","31","titulo","RISCO_REAL","titulo: ""Depoimentos"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","36","titulo","RISCO_REAL","titulo: ""Leads novos"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","41","titulo","RISCO_REAL","titulo: ""Leads no total"","
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","49","titulo","PROVAVEL_SEGURO","<h1 className=""font-titulo text-2xl text-preto-fosco mb-6"">"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","55","titulo","RISCO_REAL","key={card.titulo}"
"\src\app\(cms)\admin\(dashboard)\dashboard\page.jsx","60","titulo","RISCO_REAL","{card.titulo}"
